date,"Davenport's Bar and Grille, 1925, Pawtucket Avenue, Carpenters Corner, East Providence, Providence County, Rhode Island, 02914, United States","1014, Kings Highway, New Bedford, Bristol County, Massachusetts, 02745, United States","109, Mariano Bishop Boulevard, Fall River, Bristol County, Massachusetts, 02721, United States","1500 Diamond Hill, Diamond Hill Road, Woonsocket, Providence County, Rhode Island, 02895, United States","TGI Friday's, 1385, South Washington Street, North Attleborough, Bristol County, Massachusetts, 02760, United States","201, Branch Avenue, Providence, Providence County, Rhode Island, 02904, United States"
2021-03-01,"{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1283,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1283,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1284,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1284,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-11"",""next_days_to"":1290,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2023-04-06"",""next_days_to"":766,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-02,"{""previous_date"":""2021-03-01"",""previous_days_since"":1,""next_date"":""2024-09-04"",""next_days_to"":1282,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1282,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":1,""next_date"":""2024-09-05"",""next_days_to"":1283,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1283,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":1,""next_date"":""2024-09-11"",""next_days_to"":1289,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":1,""next_date"":""2023-04-06"",""next_days_to"":765,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-03,"{""previous_date"":""2021-03-01"",""previous_days_since"":2,""next_date"":""2024-09-04"",""next_days_to"":1281,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1281,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":2,""next_date"":""2024-09-05"",""next_days_to"":1282,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1282,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":2,""next_date"":""2024-09-11"",""next_days_to"":1288,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":2,""next_date"":""2023-04-06"",""next_days_to"":764,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-04,"{""previous_date"":""2021-03-01"",""previous_days_since"":3,""next_date"":""2024-09-04"",""next_days_to"":1280,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1280,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":3,""next_date"":""2024-09-05"",""next_days_to"":1281,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1281,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":3,""next_date"":""2024-09-11"",""next_days_to"":1287,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":3,""next_date"":""2023-04-06"",""next_days_to"":763,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-05,"{""previous_date"":""2021-03-01"",""previous_days_since"":4,""next_date"":""2024-09-04"",""next_days_to"":1279,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1279,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":4,""next_date"":""2024-09-05"",""next_days_to"":1280,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1280,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":4,""next_date"":""2024-09-11"",""next_days_to"":1286,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":4,""next_date"":""2023-04-06"",""next_days_to"":762,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-06,"{""previous_date"":""2021-03-01"",""previous_days_since"":5,""next_date"":""2024-09-04"",""next_days_to"":1278,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1278,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":5,""next_date"":""2024-09-05"",""next_days_to"":1279,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1279,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":5,""next_date"":""2024-09-11"",""next_days_to"":1285,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":5,""next_date"":""2023-04-06"",""next_days_to"":761,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-07,"{""previous_date"":""2021-03-01"",""previous_days_since"":6,""next_date"":""2024-09-04"",""next_days_to"":1277,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1277,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":6,""next_date"":""2024-09-05"",""next_days_to"":1278,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1278,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":6,""next_date"":""2024-09-11"",""next_days_to"":1284,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":6,""next_date"":""2023-04-06"",""next_days_to"":760,""stops_in_previous_7"":1,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-08,"{""previous_date"":""2021-03-01"",""previous_days_since"":7,""next_date"":""2024-09-04"",""next_days_to"":1276,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1276,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":7,""next_date"":""2024-09-05"",""next_days_to"":1277,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1277,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":7,""next_date"":""2024-09-11"",""next_days_to"":1283,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":7,""next_date"":""2023-04-06"",""next_days_to"":759,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-09,"{""previous_date"":""2021-03-01"",""previous_days_since"":8,""next_date"":""2024-09-04"",""next_days_to"":1275,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1275,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":8,""next_date"":""2024-09-05"",""next_days_to"":1276,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1276,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":8,""next_date"":""2024-09-11"",""next_days_to"":1282,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":8,""next_date"":""2023-04-06"",""next_days_to"":758,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
2021-03-10,"{""previous_date"":""2021-03-01"",""previous_days_since"":9,""next_date"":""2024-09-04"",""next_days_to"":1274,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-04"",""next_days_to"":1274,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":9,""next_date"":""2024-09-05"",""next_days_to"":1275,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""NaN"",""previous_days_since"":""NaN"",""next_date"":""2024-09-05"",""next_days_to"":1275,""stops_in_previous_7"":0,""stops_in_previous_14"":0,""stops_in_previous_28"":0,""stops_in_previous_56"":0,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":9,""next_date"":""2024-09-11"",""next_days_to"":1281,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}","{""previous_date"":""2021-03-01"",""previous_days_since"":9,""next_date"":""2023-04-06"",""next_days_to"":757,""stops_in_previous_7"":0,""stops_in_previous_14"":1,""stops_in_previous_28"":1,""stops_in_previous_56"":1,""stops_in_next_7"":0,""stops_in_next_28"":0,""active"":false}"
