city,number_of_locations,number_of_stops,latitude,longitude
BRISTOL,1,1,41.6977888,-71.2740502
BarrIngton,1,1,41.7450411,-71.2997281
Barrington,9,14,41.7398635,-71.3170422
Bristol,9,15,41.6838162,-71.2730943
COVENTRY,3,5,41.6879668,-71.5802800
CRANSTON,4,4,41.7555503,-71.4770436
Charlestown,1,1,41.3798034,-71.6557046
Coventry,20,32,41.6946831,-71.5800003
Cranston,34,49,41.7765061,-71.4631186
Cumberland,1,1,41.9911912,-71.4078678
E GREENWICH,3,3,41.6431343,-71.5141175
E Greenwich,1,1,41.6338945,-71.5152066
EAST GREENWICH,1,1,41.6411419,-71.5235976
East Greenwich,12,22,41.6458664,-71.5139143
East Providence,3,73,41.8168823,-71.3653812
Exeter,1,1,41.5925548,-71.6943184
Foster,1,1,41.7369460,-71.7435000
Greenville,5,5,41.8739189,-71.5519171
HARRISVILLE,1,1,41.9717258,-71.6056265
HOPE VALLEY,1,1,41.4890000,-71.7554229
Harrisville,2,2,41.9920829,-71.6307547
Hope,2,5,41.7346114,-71.5769474
JOHNSTON,1,1,41.8623457,-71.4926615
Jamestown,6,13,41.5142588,-71.3766665
Johnston,14,19,41.8292209,-71.5047558
LINCOLN,1,1,41.9103927,-71.4538968
LITTLE COMPTON,1,1,41.4942722,-71.1439376
Lincoln,20,27,41.9155033,-71.4420303
Middletown,5,6,41.5232835,-71.2875440
N PROVIDENCE,1,1,41.8613530,-71.4781803
N Providence,1,1,41.8734124,-71.4484414
N SMITHFIELD,1,3,41.9784890,-71.5114660
N smithfield,1,1,41.9401573,-71.5564785
N. Smithfield,1,1,41.9606040,-71.5508772
NARRAGANSETT,1,4,41.3871169,-71.4818606
NORTH ATTLEBORO,1,1,42.0029206,-71.2940009
NORTH KINGSTWON,1,1,41.5904780,-71.4412150
NORTH PROVIDENCE,2,4,41.8721204,-71.4572468
NORTH SMITHFEILD,2,2,41.9703540,-71.5318376
NORTH SMITHFIELD,4,16,41.9845100,-71.5435801
Narragansett,7,10,41.4516390,-71.4509929
Newport,1,1,41.4949877,-71.3007880
North Providence,16,25,41.8651662,-71.4498870
North Scituate,1,1,41.8715056,-71.6120017
North Scitutate,1,1,41.8326680,-71.5905312
North Smithfield,17,32,41.9669537,-71.5457478
Not Hispanic or Latino,1,1,,
Pawtucket,2,2,41.8611605,-71.3807565
Portsmouth,1,4,41.6014316,-71.2443960
Providence,19,23,41.8266683,-71.4160793
Riverside,2,2,41.7770508,-71.3620150
Rumford,3,3,41.8357535,-71.3585059
SAUNDERSTOWN,2,5,41.5025052,-71.4450078
SAUNDERTOWN,1,1,41.5026221,-71.4438537
SMITHFIELD,3,9,41.8759725,-71.4908419
Saunderstown,11,17,41.5108102,-71.4546979
Scituate,11,19,41.8297407,-71.6314482
Smithfield,11,19,41.8803207,-71.5057474
Smithfiels,1,1,41.8748767,-71.4818856
Tiverton,5,52,41.6206383,-71.1739055
UNKNOWN,7695,17620,41.7577288,-71.4440038
WEST WARWICK,1,1,41.7170544,-71.5015588
Warren,2,2,41.7152975,-71.2818317
Warwick,6,7,41.7319040,-71.4147108
West Greenwich,3,5,41.6430844,-71.6469202
West Kingston,1,1,41.4836089,-71.5553322
West Warwick,6,9,41.7073100,-71.5061553
Westerly,1,1,41.3751800,-71.8233910
Woonsocket,6,6,41.9917422,-71.5198093
\,1,1,41.6911280,-71.4504643
ashaway,23,27,41.4285166,-71.7753195
atlleboro,1,1,41.9064737,-71.3604810
attleboro,45,91,41.9259158,-71.3079343
barington,1,1,41.7286030,-71.3131300
barringon,1,1,41.7377230,-71.3384294
barrington,873,1609,41.7441017,-71.3143728
barrington barrington,2,2,,
barrington usa,1,1,,
barrington usa barrington,1,1,,
barrinhton,1,1,41.7629070,-71.2987550
bartington,1,1,41.7436920,-71.3424690
bellingham,13,15,42.0829265,-71.4750322
blackstone,1,1,42.0282389,-71.5368731
bradford,23,29,41.4007149,-71.7497973
bradford westerly,1,1,41.4012154,-71.7566846
bristol,612,981,41.6878350,-71.2689688
btistol,1,1,41.6733430,-71.2619190
burrerville,1,1,41.9658093,-71.7099577
burrillville,123,229,41.9689247,-71.6668508
burriville,1,7,41.9648395,-71.6743163
carolina,1,1,41.4695781,-71.6792645
central falls,55,117,41.8886681,-71.3923647
charelstown,1,1,41.4388290,-71.6100440
charesltown,1,1,41.4266127,-71.6112016
charlestown,376,693,41.3904968,-71.6651987
chepachet,256,363,41.8986893,-71.6855711
chepchet,1,1,41.8832190,-71.6866569
clayville,5,6,41.7755432,-71.6671268
coentry,1,1,41.6699625,-71.5573776
conventry,1,1,41.6828910,-71.6030110
coventry,660,1277,41.6923437,-71.5781115
coventry coventry,1,1,,
cranaston,1,1,41.7847872,-71.4439904
cransto,1,2,41.7786251,-71.4309341
cranston,1482,3118,41.7721825,-71.4594189
cranston chiswick,1,1,41.7702252,-71.3913186
cranston cranston,5,5,41.7744204,-71.4866009
cranston frive,1,1,41.7679780,-71.3891590
cranston garden city,1,1,41.7632509,-71.4491596
cranston lake garden,1,1,41.7889225,-71.4899787
cranston oaklawnave,1,4,41.7451741,-71.4792985
cranstons,1,1,41.7319410,-71.5224481
cranton,1,1,41.7740565,-71.4551628
crasnton,4,4,41.7785797,-71.4235532
cumberland,1049,1870,41.9521987,-71.4181761
cumberland cumberland,3,3,41.9714060,-71.4115836
douglas,9,172,42.0729671,-71.7161882
e greenwich,106,129,41.6472887,-71.4785560
e providence,54,56,41.8090548,-71.3685156
east greenwich,840,1634,41.6459531,-71.4859181
east greenwich east greenwich,2,2,41.6570507,-71.5307295
east providence,768,1302,41.8082712,-71.3644658
east providence east providence,2,6,41.7968503,-71.3596083
esmond,1,1,41.8800085,-71.4903365
exeter,144,381,41.5641853,-71.5783520
fall river,59,116,41.6975126,-71.1447315
foater,1,1,41.7691298,-71.7217034
forestdale,2,3,42.0019169,-71.5654884
foster,165,390,41.7863400,-71.7227195
glendale,7,8,41.9822844,-71.6469139
glocester,73,228,41.8938601,-71.6804056
gloucester,1,1,41.8714837,-71.7652946
gocester,1,1,41.8887880,-71.5988150
greeenville,2,2,41.8880766,-71.5595985
greene,2,2,41.6889011,-71.7265582
greenviile,1,1,41.8712629,-71.5542817
greenvile,1,1,41.8662098,-71.5650263
greenville,251,320,41.8733341,-71.5550631
greenwch,1,2,41.6486826,-71.5039702
greenwich,12,12,41.6433679,-71.6169208
greenwich',1,1,41.6588432,-71.4823065
greewich,2,2,41.6416286,-71.4955274
harriisville,1,3,41.9695780,-71.6737341
harrisville,125,160,41.9717991,-71.6562444
harriville,1,1,41.9606231,-71.6712715
harrrisville,1,1,41.9838996,-71.6754535
holliston,1,2,42.2305067,-71.4192354
hope,84,119,41.7437984,-71.5730464
hope valley,191,411,41.5073632,-71.7170466
hopkinton,32,45,41.4789748,-71.7348277
jamestowm,1,1,41.5359570,-71.3793264
jamestown,243,344,41.5224627,-71.3767240
