city,number_of_locations,number_of_stops,latitude,longitude
Acushnet,2,9,41.6789584,-70.9143604
Attleboro,65,123,41.9292518,-71.3016188
BARRINGTON,1,1,,
BELLINGHAM,1,1,,
BRISTOL,5,7,,
Barnstable,1,1,41.6813505,-70.3330882
BarrIngton,1,1,,
Barrington,296,1862,41.7438976,-71.3168106
Barrinhton,1,1,,
Bellingham,16,23,42.0824190,-71.4734711
Berkley,2,2,41.8375171,-71.0786508
Blackstone,1,2,42.0282389,-71.5368731
Boston,1,6,42.3730522,-71.0614451
Bradford,1,1,,
Bristol,164,799,41.6874389,-71.2679173
Burrillville,94,554,41.9660178,-71.6815084
CHARLESTOWN,4,5,,
CHEPACHET,1,1,,
COVENTRY,8,8,,
CRANSTON,10,10,,
CUMBERLAND,1,2,,
Central Falls,21,47,41.8897043,-71.3922014
Central falls,1,1,,
Charlestown,104,352,41.3905740,-71.6628045
Chepachet,3,3,,
Coventry,364,1711,41.6914745,-71.5763026
Cranston,743,4303,41.7724680,-71.4605985
Cumberland,293,1227,41.9531081,-71.4191272
Dartmouth,8,12,41.5979285,-70.9574291
Dighton,2,2,41.8516441,-71.1249240
Douglas,5,171,42.0653633,-71.7141274
E GREENWICH,6,6,,
E Greenwich,1,2,,
EAST GREENWICH,5,6,,
East Greenwich,368,1109,41.6423454,-71.4931964
East Providence,353,1484,41.8060206,-71.3598443
East greenwich,1,1,,
Easton,6,8,42.0364361,-71.1129509
Exeter,56,594,41.5633460,-71.5832378
FOSTER,3,5,,
Fairhaven,6,19,41.6429701,-70.8883257
Fall River,56,129,41.6960053,-71.1467004
Foster,44,287,41.7887924,-71.7358685
Foxborough,1,5,42.0764490,-71.2177737
Freetown,1,2,41.7985419,-71.0934932
GLOCESTER,1,3,,
Glocester,46,311,41.8984629,-71.6716309
Gocester,1,1,,
Great Barrington,5,10,42.1960017,-73.3691357
Greenville,3,3,,
HARRISVILLE,2,2,,
HOPE VALLEY,2,2,,
Harrisville,3,4,,
Haverhill,1,1,42.7630443,-71.0494608
Holliston,1,2,42.2305067,-71.4192354
Hope,3,3,,
Hopkinton,38,212,41.5293629,-71.7224981
JOHNSTON,4,5,,
Jamestown,148,710,41.5176411,-71.3759995
Johnston,368,1268,41.8299616,-71.4993312
KINGSTON,1,1,,
Kingston,1,2,,
LINCOLN,5,9,,
Lincoln,247,1254,41.9227235,-71.4388900
Little Compton,31,174,41.5160308,-71.1593938
MIDDLETOWN,4,4,,
Mansfield,7,27,42.0275724,-71.2165693
Marcus Wheatland Blvd NEWPORT,1,1,,
Middletown,165,652,41.5173701,-71.2870016
Milford,1,1,42.1424846,-71.5191050
Millville,1,1,42.0141007,-71.5715723
N PROVIDENCE,7,8,,
N Providence,1,1,,
N SCIT,1,1,,
N SCITUATE,5,5,,
N SMITHFIELD,3,4,,
N. Scituate,1,1,,
NARRAGANSETT,1,1,,
NEWPORT,6,9,,
NORTH KINGSTOWN,4,6,,
NORTH KINGSTWON,1,1,,
NORTH PROVIDECE,1,1,,
NORTH PROVIDENCE,4,4,,
NORTH SCITUATE,4,5,,
NORTH SMITHFEILD,2,2,,
NORTH SMITHFIELD,4,8,,
Narragansett,218,996,41.4419079,-71.4587415
New Bedford,9,62,41.6522754,-70.9332720
Newport,300,1653,41.4903323,-71.3107312
No Kingstown,1,1,,
North Attleborough,52,168,41.9769364,-71.3275077
North Kingstown,393,1658,41.5805900,-71.4605863
North Providence,365,1936,41.8603690,-71.4579348
North SMithfield,1,1,,
North Scituate,16,24,,
North Scitutate,1,1,,
North Scitute,1,1,,
North Sciuate,1,5,,
North Smithfield,127,478,41.9852323,-71.5536059
North providence,2,2,,
Northbridge,1,1,42.1524130,-71.6501185
Nortk Kingstown,1,1,,
Norton,11,28,41.9874014,-71.1838543
Norwell,3,3,42.1423605,-70.7835025
Not Hispanic or Latino,1,1,,
Ochre Point NEWPORT,2,2,,
PASCOAG,1,2,,
PAWTUCKET,8,8,,
PORTSMOTH,1,1,,
PORTSMOUTH,2,2,,
PROVIDENCE,5,129,,
Pascoag,2,3,,
Pawtucket,410,2054,41.8750702,-71.3730975
Portsmouth,208,743,41.5893036,-71.2535225
Providence,624,2932,41.8308803,-71.4213395
R.I,1,1,,
RUMFORD,1,1,,
Raynham,4,5,41.9134860,-71.0373552
Rd Exeter,1,1,,
Rehoboth,5,10,41.8932910,-71.2371203
Richmond,57,317,41.5081914,-71.6538186
Riverside,6,8,,
Rumford,3,7,,
SAUNDERSTOWN,4,14,,
SAUNDERTOWN,1,1,,
SCITUATE,1,1,,
SEEKONK,1,1,,
SMITHFIELD,2,3,,
Saunderstown,17,26,,
Scituate,93,279,41.7903562,-71.6013920
Seekonk,60,244,41.8391133,-71.3216300
Smithfield,276,2261,41.8836274,-71.5295359
Smithfiels,1,1,,
Somerset,4,8,41.7567110,-71.1419224
Sounderstown,1,1,,
South Kingstown,233,1228,41.4432361,-71.5274467
Swansea,53,81,41.7485926,-71.2200535
Taunton,10,16,41.9115158,-71.0936060
Tiverton,213,772,41.6344025,-71.1802033
UNKNOWN,19336,32697,41.5853848,-71.6508086
USA,3,3,,
Uxbridge,2,2,42.0488207,-71.6817429
W GREENWICH,1,1,,
WAKEFIELD,3,4,,
WARREN,6,6,,
WARWICK,3,3,,
WEST GREENWICH,4,4,,
WEST KINGSTON,1,1,,
WEST WARICK,1,1,,
WEST WARWICK,4,4,,
WESTERLY,3,3,,
WOONSOCKET,1,1,,
WST WARWICK,1,1,,
Wakefield,11,18,42.4970580,-71.0752922
Wareham,4,5,41.7462379,-70.6535621
Warren,143,739,41.7283163,-71.2763730
Warwick,804,2867,41.7175449,-71.4181026
West Greenwich,56,382,41.6370889,-71.6577215
West Kingston,2,2,,
West Warwick,202,736,41.7010573,-71.5179856
Westerly,176,455,41.3646334,-71.8022874
Westport,14,19,41.5958396,-71.0854939
Woonsocket,323,1265,42.0004563,-71.5010608
bristol,1,1,,
charlestown,1,1,,
chepachet,2,3,,
coventry,2,2,,
cranston,6,10,,
cranstons,1,1,,
cumberland,1,1,,
east greenwich,1,1,,
east providence,1,2,,
foster,1,1,,
glocester,1,1,,
greenville,1,1,,
harrisville,1,1,,
johnston,3,5,,
lincoln,1,1,,
middletown,1,1,,
narragansett,2,2,,
newport,1,1,,
north kingstown,1,1,,
north providence,3,3,,
north scituate,1,1,,
north smithfield,4,10,,
portsmouth,1,1,,
providence,2,2,,
saunderstown,1,1,,
scituate,1,1,,
smithfield,2,3,,
tiverton,1,1,,
us,3,3,,
wakefield,1,1,,
warren,4,7,,
warwick,2,2,,
west greenwich,2,2,,
west warwick,1,1,,
westerly,1,1,,
woonsocket,1,1,,
