display_name,location_fixed_coefficient,location_variable_coefficient
"Buttonwoods Road, Wyoming, Richmond, South County, Rhode Island, 02898, United States",3.0,0.5714285714285714
"Narragansett Pier School, 235, South Pier Road, Narragansett Pier, Narragansett, South County, Rhode Island, 02882, United States",3.0,0.14285714285714285
"4150, Old Post Road, Fort Ninigret, Charlestown, South County, Rhode Island, 02813, United States",3.0,0.7142857142857143
"Town Landfill Road, Westerly, South County, Rhode Island, 29644, United States",3.0,1e-09
"1160, Boston Neck Road, Narragansett, South County, Rhode Island, 02882, United States",3.0,0.031746031746031744
"341, South Main Street, Washington, Tiogue, Coventry, Kent County, Rhode Island, 02816, United States",3.0,6.0
"29, Beech Road, Narragansett, South County, Rhode Island, 02882, United States",1e-09,1e-09
"47, Canonchet Way, Narragansett Beach, Narragansett Pier, Narragansett, South County, Rhode Island, 02882, United States",1.999999993,1e-09
"51, Liberty Street, East Greenwich, Kent County, Rhode Island, 02818, United States",3.0,1.0
"19, Valley Road, Middletown, Newport County, Rhode Island, 02842, United States",1e-09,1e-09
"792, Valley Road, Middletown, Newport County, Rhode Island, 02842, United States",3.0,0.027131782945736434
"Salve Regina University, 100, Ochre Point Avenue, Newport, Newport County, Rhode Island, 02840, United States",1e-09,1e-09
"50, Dr Marcus Wheatland Boulevard, Newport, Newport County, Rhode Island, 02840, United States",3.0,1e-09
"35, King Street, Newport, Newport County, Rhode Island, 02840, United States",3.0,0.1111111111111111
"JT Connell Highway, Newport, Newport County, Rhode Island, 02840, United States",1e-09,1e-09
"80, Halsey Street, Newport, Newport County, Rhode Island, 02840, United States",1e-09,1e-09
"50, North Road, Jamestown, Newport County, Rhode Island, 02835, United States",1e-09,0.07326007325641026
"125, Scituate Avenue, Cranston, Providence County, Rhode Island, 02921, United States",1.9395161290322582,0.06048387096774194
"400, Putnam Pike, Smithfield, Providence County, Rhode Island, 02917, United States",0.7983870967741936,0.20161290322580647
"22, Cedar Swamp Road, Greenville, Smithfield, Providence County, Rhode Island, 02917, United States",1e-09,1e-09
"4080, South County Trail, Columbia Heights, Charlestown, South County, Rhode Island, 02813, United States",1.999999993,1e-09
"South County Trail, North Kingstown, South County, Rhode Island, 02877, United States",3.0,0.06349206349206349
"165, Broad Rock Road, Mooresfield, Peacedale, South Kingstown, South County, Rhode Island, 02879, United States",3.0,9.5
"163, Rose Hill Road, South Kingstown, South County, Rhode Island, 02879, United States",3.0,0.6
